"colonna1","colonna2"
"α2u-globulins mediate manipulation of host attractiveness in Toxoplasma gondii-Rattus novergicus association","α2u-globulins mediate manipulation of host attractiveness in Toxoplasma gondii-Rattus novergicus association"
"Zombie-Ant Fungi Emerged from Non-manipulating, Beetle-Infecting Ancestors","Zombie-Ant Fungi Emerged from Non-manipulating, Beetle-Infecting Ancestors"
"Zombie bugs? Manipulation of kissing bug behavior by the parasite Trypanosoma cruzi","Zombie bugs? Manipulation of kissing bug behavior by the parasite Trypanosoma cruzi"
"Zombie ant heads are oriented relative to solar cues","Zombie ant heads are oriented relative to solar cues"
"Zombie ant death grip due to hypercontracted mandibular muscles","Zombie ant death grip due to hypercontracted mandibular muscles"
"Z-DNA Binding Protein Mediates Host Control of Toxoplasma gondii Infection","Z-DNA Binding Protein Mediates Host Control of Toxoplasma gondii Infection"
"You can't keep a good parasite down: Evolution of a male-killer suppressor uncovers cytoplasmic incompatibility","You can't keep a good parasite down: Evolution of a male-killer suppressor uncovers cytoplasmic incompatibility"
"Women infected with parasite Toxoplasma have more sons","Women infected with parasite Toxoplasma have more sons"
"Wolbachia-host interactions:: connecting phenotype to genotype","Wolbachia-host interactions:: connecting phenotype to genotype"
"Wolbachia: Evolutionary novelty in a rickettsial bacteria","Wolbachia: Evolutionary novelty in a rickettsial bacteria"
"Wolbachia: endosymbiont of onchocercid nematodes and their vectors","Wolbachia: endosymbiont of onchocercid nematodes and their vectors"
"Wolbachia infections in natural Anopheles populations affect egg laying and negatively correlate with Plasmodium development","Wolbachia infections in natural Anopheles populations affect egg laying and negatively correlate with Plasmodium development"
"Wolbachia and Sirtuin-4 interaction is associated with alterations in host glucose metabolism and bacterial titer","Wolbachia and Sirtuin-4 interaction is associated with alterations in host glucose metabolism and bacterial titer"
"Winter feeding of elk in the Greater Yellowstone Ecosystem and its effects on disease dynamics","Winter feeding of elk in the Greater Yellowstone Ecosystem and its effects on disease dynamics"
"Winning the arms race: host - parasite shared evolutionary history reduces infection risks in fish final hosts","Winning the arms race: host - parasite shared evolutionary history reduces infection risks in fish final hosts"
"Widespread vertical transmission and associated host sex-ratio distortion within the eukaryotic phylum Microspora","Widespread vertical transmission and associated host sex-ratio distortion within the eukaryotic phylum Microspora"
"Why join groups? Lessons from parasite-manipulated Artemia","Why join groups? Lessons from parasite-manipulated Artemia"
"Why have parasites promoting mating success been observed so rarely?","Why have parasites promoting mating success been observed so rarely?"
"Why do zombies clean themselves? An initial test of the antimicrobial hypothesis in a parasite-host relationship","Why do zombies clean themselves? An initial test of the antimicrobial hypothesis in a parasite-host relationship"
"Why do nematomorphs leave their hosts?","Why do nematomorphs leave their hosts?"
"Wholly Rickettsia! Reconstructed Metabolic Profile of the Quintessential Bacterial Parasite of Eukaryotic Cells","Wholly Rickettsia! Reconstructed Metabolic Profile of the Quintessential Bacterial Parasite of Eukaryotic Cells"
